"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 16 13:17:04 GMT 2023","Sun Jul 16 13:17:05 GMT 2023","1309","","hw11.lecture.AttachmentsTest","","hw11.lecture.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Sun Jul 16 13:17:05 GMT 2023","Sun Jul 16 13:17:05 GMT 2023","3","","hw11.lecture.LabelsTest","","hw11.lecture.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Sun Jul 16 13:16:39 GMT 2023","Sun Jul 16 13:16:44 GMT 2023","5131","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadTxtFileTest","downloadTxtFileTest()",""
"passed","Sun Jul 16 13:17:02 GMT 2023","Sun Jul 16 13:17:02 GMT 2023","41","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","csvTest","csvTest()",""
"passed","Sun Jul 16 13:16:55 GMT 2023","Sun Jul 16 13:17:02 GMT 2023","6311","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","xlsxTest","xlsxTest()",""
"skipped","Sun Jul 16 13:17:15 GMT 2023","Sun Jul 16 13:17:15 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","addressValues","addressValues(String, List)",""
"passed","Sun Jul 16 13:16:46 GMT 2023","Sun Jul 16 13:16:51 GMT 2023","4991","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadXlsFileTest","downloadXlsFileTest()",""
"passed","Sun Jul 16 13:16:51 GMT 2023","Sun Jul 16 13:16:55 GMT 2023","4672","","hw10.SelenideFileTests","","hw10.SelenideFileTests","downloadPdfFileTest","downloadPdfFileTest()",""
"passed","Sun Jul 16 13:16:38 GMT 2023","Sun Jul 16 13:16:38 GMT 2023","680","","hw10.JsonTests","","hw10.JsonTests","jsonTest","jsonTest()",""
"skipped","Sun Jul 16 13:17:15 GMT 2023","Sun Jul 16 13:17:15 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","pageSubHeaderValues","pageSubHeaderValues(String, String)",""
"passed","Sun Jul 16 13:17:09 GMT 2023","Sun Jul 16 13:17:12 GMT 2023","2799","","hw11.lecture.StepsTest","","hw11.lecture.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"skipped","Sun Jul 16 13:17:15 GMT 2023","Sun Jul 16 13:17:15 GMT 2023","0","","org.openstreetmap.OpenStreetMapTests","","org.openstreetmap.OpenStreetMapTests","pageHeaderValues","pageHeaderValues(String)",""
"passed","Sun Jul 16 13:17:02 GMT 2023","Sun Jul 16 13:17:02 GMT 2023","631","","hw10.ZipArchiveTests","","hw10.ZipArchiveTests","pdfTest","pdfTest()",""
"passed","Sun Jul 16 13:17:02 GMT 2023","Sun Jul 16 13:17:04 GMT 2023","1236","","hw11.lecture.AttachmentsTest","","hw11.lecture.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Sun Jul 16 13:17:05 GMT 2023","Sun Jul 16 13:17:09 GMT 2023","4635","","hw11.lecture.SelenideTest","","hw11.lecture.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Sun Jul 16 13:17:12 GMT 2023","Sun Jul 16 13:17:15 GMT 2023","2949","","hw11.lecture.StepsTest","","hw11.lecture.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Sun Jul 16 13:16:44 GMT 2023","Sun Jul 16 13:16:46 GMT 2023","1870","","hw10.SelenideFileTests","","hw10.SelenideFileTests","uploadFileTest","uploadFileTest()",""
"passed","Sun Jul 16 13:17:05 GMT 2023","Sun Jul 16 13:17:05 GMT 2023","1","","hw11.lecture.LabelsTest","","hw11.lecture.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
